,,,,,,,,Federal Housing Finance Agency,,,
,,,,,,,,www.fhfa.gov,,,
,,,,,,,,,,,
"TABLE 25:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, PREVIOUSLY OCCUPIED HOMES, ADJUSTABLE-RATE MORTGAGES",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,
,,(%),Charges,(%),,($000),,(%),,,
,,,(%),,,,,,,,
,,,,,,,,,,,
1997,04,6.96,0.82,7.09,29.3,152.8,193.7,80.2,,,
1997,05,6.81,0.80,6.94,29.6,147.6,187.0,80.3,,,
1997,06,6.87,0.92,7.01,29.5,158.2,203.0,79.7,,,
1997,07,6.64,0.83,6.76,29.4,151.9,195.9,79.2,,,
1997,08,6.71,0.87,6.84,29.5,153.3,199.3,78.6,,,
1997,09,6.66,0.84,6.79,29.5,152.2,194.2,80.0,,,
1997,10,6.58,0.83,6.71,29.3,156.2,202.8,79.1,,,
1997,11,6.60,0.92,6.74,29.4,151.4,194.7,79.6,,,
1997,12,6.51,0.90,6.64,29.6,152.4,198.8,78.9,,,
1998,01,6.56,0.83,6.68,29.1,159.8,206.2,79.4,,,
1998,02,6.49,0.83,6.62,29.0,163.8,216.2,78.3,,,
1998,03,6.48,0.77,6.59,29.4,163.5,214.3,78.5,,,
1998,04,6.46,0.71,6.56,29.2,175.2,231.7,77.9,,,
1998,05,6.45,0.83,6.57,29.8,169.2,219.7,79.1,,,
1998,06,6.35,0.87,6.48,29.9,178.6,233.9,78.5,,,
1998,07,6.28,0.74,6.38,29.5,185.8,248.3,76.9,,,
1998,08,6.36,0.86,6.49,29.5,177.7,233.9,78.3,,,
1998,09,6.18,0.70,6.28,29.7,174.5,228.9,77.8,,,
1998,10,6.16,0.53,6.24,29.3,191.8,254.5,77.3,,,
1998,11,6.18,0.52,6.25,29.8,206.3,276.4,77.1,,,
1998,12,6.05,0.61,6.14,29.6,195.2,263.2,76.5,,,
1999,01,6.16,0.80,6.27,29.7,197.3,262.0,76.7,,,
1999,02,6.20,0.76,6.31,29.9,207.2,278.4,76.4,,,
1999,03,6.21,0.78,6.32,29.9,197.7,262.6,77.2,,,
1999,04,6.13,0.78,6.24,29.8,187.7,250.4,77.3,,,
1999,05,6.22,0.77,6.33,29.5,186.7,249.7,78.1,,,
1999,06,6.39,0.74,6.50,29.6,185.3,245.6,77.6,,,
1999,07,6.65,0.75,6.76,29.3,166.0,216.5,78.3,,,
1999,08,6.68,0.47,6.75,29.8,183.1,242.3,78.1,,,
1999,09,6.75,0.42,6.81,29.7,190.5,251.7,78.0,,,
1999,10,6.71,0.40,6.77,29.8,187.8,249.5,77.6,,,
1999,11,6.71,0.29,6.75,29.8,184.6,245.5,77.6,,,
1999,12,6.69,0.33,6.74,29.5,184.5,243.6,77.8,,,
2000,01,7.02,0.45,7.09,29.7,189.6,251.5,78.1,,,
2000,02,7.23,0.45,7.30,29.8,184.2,242.6,78.6,,,
2000,03,7.30,0.45,7.36,29.8,190.4,253.6,77.7,,,
2000,04,7.22,0.40,7.29,29.7,194.5,260.0,77.5,,,
2000,05,7.36,0.42,7.42,29.8,198.1,263.4,78.0,,,
2000,06,7.41,0.40,7.48,29.9,207.7,278.4,77.3,,,
2000,07,7.29,0.37,7.34,29.8,215.5,290.5,76.6,,,
2000,08,7.14,0.38,7.19,29.7,216.9,293.4,75.7,,,
2000,09,7.05,0.40,7.11,29.7,216.0,289.9,76.5,,,
2000,10,6.86,0.35,6.92,29.8,223.6,304.1,75.6,,,
2000,11,6.74,0.35,6.80,29.8,222.5,302.2,75.8,,,
2000,12,6.71,0.30,6.75,29.8,228.0,307.8,75.8,,,
2001,01,6.53,0.29,6.57,29.7,251.6,344.1,75.8,,,
2001,02,6.68,0.25,6.71,29.7,268.0,368.4,75.8,,,
2001,03,6.54,0.26,6.58,29.7,274.0,369.2,76.7,,,
2001,04,6.44,0.30,6.48,29.8,245.7,329.2,77.7,,,
2001,05,6.47,0.32,6.52,29.9,235.6,311.9,78.8,,,
2001,06,6.40,0.35,6.45,29.8,229.4,303.7,78.3,,,
2001,07,6.49,0.37,6.54,29.9,234.5,314.6,77.2,,,
2001,08,6.34,0.34,6.39,29.7,235.7,318.7,76.8,,,
2001,09,6.27,0.36,6.32,29.9,234.2,320.0,76.5,,,
2001,10,6.06,0.30,6.10,29.6,232.4,316.5,76.8,,,
2001,11,6.00,0.25,6.04,29.6,243.0,332.1,76.6,,,
2001,12,6.01,0.36,6.06,29.8,225.2,310.5,76.1,,,
2002,01,6.01,0.38,6.06,29.7,223.6,306.8,76.3,,,
2002,02,5.93,0.35,5.98,29.8,228.8,308.8,77.1,,,
2002,03,5.92,0.33,5.96,29.5,229.9,313.0,77.3,,,
2002,04,5.95,0.31,5.99,29.8,231.5,310.2,78.4,,,
2002,05,5.76,0.38,5.81,29.8,223.5,293.2,79.4,,,
2002,06,5.68,0.41,5.74,29.9,233.1,314.5,77.4,,,
2002,07,5.47,0.44,5.53,29.7,228.9,308.6,78.2,,,
2002,08,5.38,0.40,5.44,29.6,233.2,317.4,77.2,,,
2002,09,5.38,0.42,5.44,29.9,231.3,321.1,76.2,,,
2002,10,5.31,0.43,5.37,29.5,230.9,318.7,76.2,,,
2002,11,5.33,0.40,5.39,29.7,236.8,327.1,76.6,,,
2002,12,5.26,0.40,5.32,29.7,250.0,336.1,77.2,,,
2003,01,5.19,0.32,5.23,29.9,231.2,315.9,77.0,,,
2003,02,5.12,0.35,5.17,29.8,223.6,302.4,77.6,,,
2003,03,4.98,0.32,5.02,29.8,223.0,302.8,77.4,,,
2003,04,4.93,0.31,4.97,29.7,226.1,297.5,79.8,,,
2003,05,4.91,0.48,4.98,29.7,195.5,273.2,75.1,,,
2003,06,4.60,0.36,4.65,29.9,212.8,292.4,76.1,,,
2003,07,4.61,0.43,4.67,29.2,234.4,318.3,77.6,,,
2003,08,4.82,0.37,4.87,29.8,239.5,321.4,78.1,,,
2003,09,5.09,0.46,5.15,29.7,213.8,291.8,77.0,,,
2003,10,5.05,0.28,5.09,29.5,226.7,305.2,77.2,,,
2003,11,5.12,0.37,5.18,29.8,216.2,285.4,78.2,,,
2003,12,5.00,0.47,5.07,29.8,219.7,288.4,79.1,,,
2004,01,4.92,0.45,4.99,29.9,226.4,299.2,78.8,,,
2004,02,4.95,0.44,5.01,30.0,227.2,305.1,77.7,,,
2004,03,4.63,0.34,4.68,29.8,227.6,305.1,78.1,,,
2004,04,4.61,0.31,4.65,29.8,238.9,321.1,78.1,,,
2004,05,5.01,0.31,5.06,29.8,225.8,296.2,79.5,,,
2004,06,5.34,0.35,5.39,29.8,235.5,310.9,79.0,,,
