"Fannie Mae and Freddie Mac Maximum Loan Limits for Loans Originated in 2009 or 
Originated Between 7/1/07 and 12/31/08 and Purchased in 2009

(These limits were determined under the American Recovery and Reinvestment Act of 2009.  Loans acquired in 2009, but originated prior to 7/1/2007 remain subject to previously-announced 2009 loan limits, which were determined under provisions of the Housing and Economic Recovery Act of 2008).",,,,,,,,
FIPS State Code,FIPS County Code,County Name,CBSA Number,State,One-Unit Limit,Two-Unit Limit,Three-Unit Limit,Four-Unit Limit
08,097,Pitkin County,99999,CO,"$729,750","$934,200","$1,129,250","$1,403,400"
08,099,Prowers County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,101,Pueblo County,39380,CO,"$417,000","$533,850","$645,300","$801,950"
08,103,Rio Blanco County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,105,Rio Grande County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,107,Routt County,99999,CO,"$675,000","$864,100","$1,044,550","$1,298,100"
08,109,Saguache County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,111,San Juan County,99999,CO,"$425,000","$544,050","$657,650","$817,300"
08,113,San Miguel County,99999,CO,"$651,250","$833,700","$1,007,750","$1,252,400"
08,115,Sedgwick County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,117,Summit County,43540,CO,"$729,750","$934,200","$1,129,250","$1,403,400"
08,119,Teller County,17820,CO,"$417,000","$533,850","$645,300","$801,950"
08,121,Washington County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,123,Weld County,24540,CO,"$417,500","$534,450","$646,050","$802,900"
08,125,Yuma County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
09,001,Fairfield County,14860,CT,"$708,750","$907,350","$1,096,750","$1,363,000"
09,003,Hartford County,25540,CT,"$440,000","$563,250","$680,850","$846,150"
09,005,Litchfield County,45860,CT,"$417,000","$533,850","$645,300","$801,950"
09,007,Middlesex County,25540,CT,"$440,000","$563,250","$680,850","$846,150"
09,009,New Haven County,35300,CT,"$417,000","$533,850","$645,300","$801,950"
09,011,New London County,35980,CT,"$417,000","$533,850","$645,300","$801,950"
09,013,Tolland County,25540,CT,"$440,000","$563,250","$680,850","$846,150"
09,015,Windham County,48740,CT,"$417,000","$533,850","$645,300","$801,950"
10,001,Kent County,20100,DE,"$417,000","$533,850","$645,300","$801,950"
10,003,New Castle County,37980,DE,"$420,000","$537,650","$649,900","$807,700"
10,005,Sussex County,42580,DE,"$417,000","$533,850","$645,300","$801,950"
11,001,District of Columbia,47900,DC,"$729,750","$934,200","$1,129,250","$1,403,400"
12,001,Alachua County,23540,FL,"$417,000","$533,850","$645,300","$801,950"
12,003,Baker County,27260,FL,"$417,000","$533,850","$645,300","$801,950"
12,005,Bay County,37460,FL,"$417,000","$533,850","$645,300","$801,950"
12,007,Bradford County,99999,FL,"$417,000","$533,850","$645,300","$801,950"
12,009,Brevard County,37340,FL,"$417,000","$533,850","$645,300","$801,950"
12,011,Broward County,33100,FL,"$423,750","$542,450","$655,700","$814,900"
12,013,Calhoun County,99999,FL,"$417,000","$533,850","$645,300","$801,950"
