01.Jan.1990W !W, MBAM@haverw , MBAMP@haverw , MBAMR@HAVERW ,MBA30C@HAVERW
.DESC,"MBA: Market Volume Index: All Mortgage Loan Applications (SA, Mar-16-90=100)"," MBA: Volume Index: Mortgage Loan Applications for Purchase (SA, Mar-16-90=100) "," MBA: Volume Index: Mortgage Loan Applications for Refinancing(SA, Mar-16-90=100) ",MBA: FRM 30-Year: Contract Interest Rate (%)
.FRQ,Weekly (Fri), Weekly (Fri) , Weekly (Fri) ,Weekly (Fri)
12.Jul.1996W,169.8,167.0,186.1,8.34
19.Jul.1996W,190.6,184.8,224.3,8.23
26.Jul.1996W,183.3,176.6,222.3,8.27
02.Aug.1996W,196.9,189.9,237.5,8.02
09.Aug.1996W,192.7,176.3,287.8,7.94
16.Aug.1996W,192.6,177.6,279.9,8.01
23.Aug.1996W,186.1,172.8,262.9,8.08
30.Aug.1996W,206.7,193.5,283.6,8.25
06.Sep.1996W,194.5,188.9,226.8,8.33
13.Sep.1996W,190.3,179.9,250.8,8.21
20.Sep.1996W,202.8,192.4,263.3,8.20
27.Sep.1996W,197.1,184.3,271.4,8.08
04.Oct.1996W,195.6,182.4,272.3,7.94
11.Oct.1996W,209.0,189.1,324.8,7.96
18.Oct.1996W,199.3,179.2,316.4,7.95
25.Oct.1996W,197.7,178.4,309.4,7.96
01.Nov.1996W,216.6,189.7,372.9,7.79
08.Nov.1996W,227.0,194.2,417.9,7.74
15.Nov.1996W,232.9,196.3,445.7,7.68
22.Nov.1996W,236.9,198.7,459.5,7.65
29.Nov.1996W,231.1,193.5,449.5,7.62
06.Dec.1996W,276.7,219.2,610.7,7.67
13.Dec.1996W,244.4,204.7,475.4,7.78
20.Dec.1996W,206.5,180.0,360.4,7.72
27.Dec.1996W,173.8,156.8,272.8,7.68
03.Jan.1997W,231.6,206.9,375.5,7.83
10.Jan.1997W,199.6,178.3,323.6,7.95
17.Jan.1997W,198.5,180.0,305.8,7.90
24.Jan.1997W,203.3,179.6,341.6,7.96
31.Jan.1997W,200.3,176.6,338.4,7.89
07.Feb.1997W,207.3,177.8,379.2,7.78
14.Feb.1997W,201.6,167.3,401.5,7.71
21.Feb.1997W,256.8,205.3,556.0,7.72
28.Feb.1997W,226.7,186.4,460.9,7.93
07.Mar.1997W,208.6,176.0,398.7,7.91
14.Mar.1997W,222.3,189.0,416.2,7.98
21.Mar.1997W,226.4,197.2,396.7,8.03
28.Mar.1997W,298.5,257.3,538.4,8.18
04.Apr.1997W,191.4,174.0,292.3,8.15
11.Apr.1997W,192.3,176.3,285.1,8.19
18.Apr.1997W,196.0,181.2,282.3,8.10
25.Apr.1997W,200.3,187.7,273.2,8.20
02.May.1997W,204.1,189.4,289.8,8.04
09.May.1997W,219.5,205.1,303.4,7.98
16.May.1997W,212.6,192.0,332.5,7.99
23.May.1997W,210.8,191.1,325.1,7.98
30.May.1997W,203.1,187.2,295.6,7.99
06.Jun.1997W,223.4,206.4,322.4,7.82
13.Jun.1997W,234.4,210.1,375.7,7.75
20.Jun.1997W,234.4,206.5,396.5,7.69
27.Jun.1997W,239.5,208.0,422.4,7.75
04.Jul.1997W,246.0,218.6,405.4,7.61
11.Jul.1997W,254.6,212.9,497.3,7.60
18.Jul.1997W,257.4,208.4,542.8,7.56
25.Jul.1997W,263.1,205.9,595.9,7.51
01.Aug.1997W,281.8,211.7,689.3,7.52
08.Aug.1997W,293.6,220.5,718.8,7.62
15.Aug.1997W,265.4,211.8,577.2,7.57
22.Aug.1997W,268.7,219.8,552.9,7.65
29.Aug.1997W,245.7,205.8,477.8,7.61
05.Sep.1997W,258.9,214.7,516.3,7.54
12.Sep.1997W,256.0,214.3,498.5,7.52
19.Sep.1997W,296.6,227.3,699.6,7.38
26.Sep.1997W,286.6,217.0,691.5,7.40
03.Oct.1997W,294.5,220.0,728.2,7.20
10.Oct.1997W,324.2,234.6,845.5,7.43
17.Oct.1997W,280.5,207.8,703.0,7.43
24.Oct.1997W,274.5,204.3,683.1,7.36
31.Oct.1997W,348.3,233.9,1013.4,7.26
07.Nov.1997W,290.5,202.1,805.0,7.28
14.Nov.1997W,317.3,227.0,842.4,7.25
21.Nov.1997W,305.6,224.1,779.4,7.27
28.Nov.1997W,331.6,246.1,828.7,7.24
05.Dec.1997W,316.3,235.7,785.1,7.23
12.Dec.1997W,321.8,234.9,827.3,7.10
19.Dec.1997W,310.6,217.8,850.0,7.07
26.Dec.1997W,299.7,223.1,745.0,7.12
02.Jan.1998W,342.4,234.1,972.7,7.02
09.Jan.1998W,497.3,266.0,1842.5,6.82
16.Jan.1998W,699.1,283.6,3115.8,6.95
23.Jan.1998W,721.2,313.4,3093.3,7.09
30.Jan.1998W,515.6,253.8,2038.6,6.98
06.Feb.1998W,510.4,249.4,2028.7,7.05
13.Feb.1998W,437.2,222.5,1686.4,6.93
20.Feb.1998W,508.2,250.8,2005.6,6.97
27.Feb.1998W,409.3,217.3,1526.1,7.09
06.Mar.1998W,392.3,225.4,1363.1,7.13
13.Mar.1998W,381.6,217.2,1337.9,6.97
20.Mar.1998W,408.3,234.1,1421.4,7.00
27.Mar.1998W,379.9,222.2,1297.1,7.09
03.Apr.1998W,389.3,248.8,1206.3,6.89
10.Apr.1998W,492.2,287.3,1684.2,6.99
17.Apr.1998W,353.4,227.3,1087.0,6.97
24.Apr.1998W,375.7,241.4,1157.0,7.07
01.May.1998W,435.6,282.5,1326.5,7.11
08.May.1998W,428.5,279.2,1297.0,7.09
15.May.1998W,384.5,254.8,1138.7,7.07
22.May.1998W,365.6,248.1,1049.0,7.02
29.May.1998W,393.9,259.8,1174.3,6.99
05.Jun.1998W,396.6,272.1,1120.7,7.03
12.Jun.1998W,401.1,262.1,1209.6,6.88
19.Jun.1998W,440.6,274.6,1406.2,6.95
26.Jun.1998W,382.2,241.3,1202.0,6.97
03.Jul.1998W,460.1,286.4,1470.6,6.85
10.Jul.1998W,415.5,262.5,1305.5,6.94
17.Jul.1998W,407.2,255.0,1292.2,6.92
24.Jul.1998W,409.0,252.4,1320.2,6.91
31.Jul.1998W,407.0,257.2,1278.8,6.93
07.Aug.1998W,406.8,254.7,1291.9,6.87
14.Aug.1998W,406.7,251.4,1310.5,6.89
21.Aug.1998W,385.2,243.1,1211.9,6.86
28.Aug.1998W,425.2,269.4,1331.5,6.72
04.Sep.1998W,542.6,305.1,1924.0,6.64
11.Sep.1998W,572.3,302.5,2141.9,6.55
18.Sep.1998W,570.5,278.3,2269.9,6.55
25.Sep.1998W,635.5,283.6,2682.7,6.51
02.Oct.1998W,759.7,304.0,3410.5,6.36
09.Oct.1998W,936.7,343.1,4389.1,6.96
16.Oct.1998W,621.1,296.9,2507.0,6.60
23.Oct.1998W,662.6,299.6,2774.3,6.81
30.Oct.1998W,578.8,249.3,2495.7,6.73
06.Nov.1998W,540.5,291.9,1987.0,6.87
13.Nov.1998W,505.2,295.8,1723.0,6.86
20.Nov.1998W,487.5,259.3,1814.8,6.73
27.Nov.1998W,556.7,293.8,2086.3,6.75
04.Dec.1998W,557.2,299.6,2055.1,6.71
11.Dec.1998W,512.2,277.2,1879.1,6.69
18.Dec.1998W,459.3,268.5,1569.0,6.64
25.Dec.1998W,450.2,279.8,1441.3,6.86
01.Jan.1999W,427.9,249.0,1468.5,6.72
08.Jan.1999W,436.6,254.8,1494.2,6.90
15.Jan.1999W,475.7,276.4,1634.4,6.81
22.Jan.1999W,468.1,278.3,1572.2,6.73
29.Jan.1999W,488.4,272.9,1741.7,6.75
05.Feb.1999W,458.9,253.5,1654.0,6.86
12.Feb.1999W,404.3,232.9,1401.4,6.87
19.Feb.1999W,392.0,231.7,1324.2,6.89
26.Feb.1999W,452.1,269.8,1512.8,7.08
05.Mar.1999W,403.8,259.8,1241.3,7.09
12.Mar.1999W,379.4,246.4,1153.3,6.97
19.Mar.1999W,416.8,259.4,1332.6,6.96
26.Mar.1999W,397.3,263.2,1177.2,6.98
02.Apr.1999W,388.8,269.0,1086.2,6.96
09.Apr.1999W,391.0,251.2,1203.9,6.87
16.Apr.1999W,415.5,288.2,1155.7,6.87
23.Apr.1999W,398.4,278.9,1093.4,6.97
30.Apr.1999W,410.8,298.7,1062.9,6.98
