"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: April 19, 2019.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Oregon,OR,41,2002,3.49,479.84,199.30,108.07,
Oregon,OR,41,2003,2.84,493.46,204.95,111.14,
Oregon,OR,41,2004,8.69,536.35,222.77,120.80,
Oregon,OR,41,2005,16.34,624.02,259.18,140.54,
Oregon,OR,41,2006,16.03,724.02,300.71,163.07,
Oregon,OR,41,2007,5.33,762.59,316.73,171.75,
Oregon,OR,41,2008,-2.78,741.37,307.92,166.97,
Oregon,OR,41,2009,-9.90,668.00,277.44,150.45,
Oregon,OR,41,2010,-8.20,613.21,254.69,138.11,
Oregon,OR,41,2011,-6.87,571.05,237.18,128.61,
Oregon,OR,41,2012,-1.66,561.56,233.23,126.48,
Oregon,OR,41,2013,6.22,596.49,247.74,134.34,
Oregon,OR,41,2014,9.51,653.22,271.30,147.12,
Oregon,OR,41,2015,7.51,702.25,291.67,158.16,
Oregon,OR,41,2016,10.81,778.14,323.19,175.26,
Oregon,OR,41,2017,8.36,843.21,350.22,189.91,
Oregon,OR,41,2018,6.33,896.61,372.39,201.94,
Pennsylvania,PA,42,1975,.,100.00,37.86,31.78,
Pennsylvania,PA,42,1976,5.49,105.49,39.94,33.53,
Pennsylvania,PA,42,1977,5.59,111.38,42.17,35.40,
Pennsylvania,PA,42,1978,7.88,120.16,45.50,38.19,
Pennsylvania,PA,42,1979,11.73,134.25,50.83,42.67,
Pennsylvania,PA,42,1980,5.08,141.08,53.42,44.84,
Pennsylvania,PA,42,1981,3.97,146.68,55.54,46.62,
Pennsylvania,PA,42,1982,2.63,150.54,57.00,47.84,
Pennsylvania,PA,42,1983,4.08,156.68,59.33,49.79,
Pennsylvania,PA,42,1984,6.13,166.28,62.96,52.85,
Pennsylvania,PA,42,1985,5.77,175.86,66.59,55.89,
Pennsylvania,PA,42,1986,7.53,189.11,71.60,60.10,
Pennsylvania,PA,42,1987,11.90,211.61,80.13,67.25,
Pennsylvania,PA,42,1988,15.10,243.56,92.22,77.41,
Pennsylvania,PA,42,1989,6.19,258.63,97.93,82.20,
Pennsylvania,PA,42,1990,2.12,264.10,100.00,83.93,
Pennsylvania,PA,42,1991,1.39,267.77,101.39,85.10,
Pennsylvania,PA,42,1992,1.52,271.86,102.94,86.40,
Pennsylvania,PA,42,1993,0.84,274.15,103.80,87.13,
Pennsylvania,PA,42,1994,0.28,274.92,104.10,87.37,
Pennsylvania,PA,42,1995,0.97,277.58,105.11,88.22,
Pennsylvania,PA,42,1996,1.63,282.10,106.82,89.66,
Pennsylvania,PA,42,1997,1.39,286.02,108.30,90.90,
Pennsylvania,PA,42,1998,2.62,293.53,111.14,93.29,
Pennsylvania,PA,42,1999,2.46,300.75,113.88,95.58,
Pennsylvania,PA,42,2000,4.62,314.65,119.14,100.00,
Pennsylvania,PA,42,2001,5.70,332.59,125.93,105.70,
Pennsylvania,PA,42,2002,5.39,350.50,132.72,111.40,
Pennsylvania,PA,42,2003,4.39,365.90,138.55,116.29,
Pennsylvania,PA,42,2004,9.29,399.89,151.42,127.09,
Pennsylvania,PA,42,2005,11.31,445.12,168.54,141.47,
Pennsylvania,PA,42,2006,7.57,478.84,181.31,152.18,
Pennsylvania,PA,42,2007,2.42,490.43,185.70,155.86,
Pennsylvania,PA,42,2008,-0.85,486.24,184.11,154.54,
Pennsylvania,PA,42,2009,-3.48,469.31,177.70,149.15,
Pennsylvania,PA,42,2010,-2.65,456.87,172.99,145.20,
Pennsylvania,PA,42,2011,-2.45,445.69,168.76,141.65,
Pennsylvania,PA,42,2012,-1.94,437.05,165.48,138.90,
Pennsylvania,PA,42,2013,0.81,440.59,166.83,140.03,
Pennsylvania,PA,42,2014,1.91,449.02,170.02,142.70,
Pennsylvania,PA,42,2015,2.03,458.12,173.46,145.60,
Pennsylvania,PA,42,2016,2.50,469.58,177.80,149.24,
Pennsylvania,PA,42,2017,3.52,486.10,184.06,154.49,
Pennsylvania,PA,42,2018,4.26,506.79,191.90,161.07,
Rhode Island,RI,44,1975,.,100.00,26.46,23.88,
Rhode Island,RI,44,1976,3.76,103.76,27.46,24.78,
Rhode Island,RI,44,1977,7.80,111.86,29.60,26.72,
Rhode Island,RI,44,1978,13.27,126.70,33.52,30.26,
Rhode Island,RI,44,1979,11.20,140.89,37.28,33.65,
Rhode Island,RI,44,1980,9.50,154.27,40.82,36.85,
Rhode Island,RI,44,1981,6.36,164.09,43.42,39.19,
Rhode Island,RI,44,1982,1.46,166.48,44.05,39.76,
Rhode Island,RI,44,1983,7.22,178.50,47.23,42.63,
Rhode Island,RI,44,1984,8.09,192.94,51.05,46.08,
Rhode Island,RI,44,1985,10.92,214.00,56.62,51.11,
Rhode Island,RI,44,1986,18.31,253.19,66.99,60.47,
Rhode Island,RI,44,1987,25.78,318.45,84.26,76.06,
Rhode Island,RI,44,1988,15.63,368.21,97.43,87.94,
Rhode Island,RI,44,1989,4.15,383.49,101.47,91.59,
Rhode Island,RI,44,1990,-1.45,377.93,100.00,90.26,
Rhode Island,RI,44,1991,-3.85,363.39,96.15,86.79,
Rhode Island,RI,44,1992,-2.28,355.09,93.96,84.81,
Rhode Island,RI,44,1993,-1.04,351.39,92.98,83.92,
Rhode Island,RI,44,1994,-1.59,345.79,91.50,82.59,
Rhode Island,RI,44,1995,-0.36,344.55,91.17,82.29,
Rhode Island,RI,44,1996,0.86,347.52,91.96,83.00,
Rhode Island,RI,44,1997,0.69,349.91,92.59,83.57,
Rhode Island,RI,44,1998,2.97,360.30,95.34,86.05,
Rhode Island,RI,44,1999,3.94,374.49,99.09,89.44,
Rhode Island,RI,44,2000,11.80,418.69,110.79,100.00,
Rhode Island,RI,44,2001,10.89,464.31,122.86,110.89,
Rhode Island,RI,44,2002,14.06,529.58,140.13,126.48,
Rhode Island,RI,44,2003,10.76,586.55,155.20,140.09,
Rhode Island,RI,44,2004,17.92,691.67,183.02,165.20,
Rhode Island,RI,44,2005,14.11,789.28,208.85,188.51,
Rhode Island,RI,44,2006,4.02,821.03,217.25,196.09,
Rhode Island,RI,44,2007,-2.41,801.21,212.00,191.36,
Rhode Island,RI,44,2008,-7.17,743.80,196.81,177.65,
Rhode Island,RI,44,2009,-9.61,672.34,177.90,160.58,
Rhode Island,RI,44,2010,-4.61,641.33,169.70,153.17,
Rhode Island,RI,44,2011,-4.66,611.43,161.79,146.03,
Rhode Island,RI,44,2012,-3.80,588.21,155.64,140.49,
Rhode Island,RI,44,2013,-0.10,587.64,155.49,140.35,
Rhode Island,RI,44,2014,2.87,604.49,159.95,144.38,
Rhode Island,RI,44,2015,4.00,628.67,166.35,150.15,
Rhode Island,RI,44,2016,4.77,658.68,174.29,157.32,
Rhode Island,RI,44,2017,6.64,702.42,185.86,167.76,
Rhode Island,RI,44,2018,6.96,751.29,198.79,179.44,
South Carolina,SC,45,1975,.,100.00,45.73,32.77,
South Carolina,SC,45,1976,5.08,105.08,48.06,34.44,
South Carolina,SC,45,1977,4.92,110.25,50.42,36.13,
South Carolina,SC,45,1978,10.21,121.51,55.57,39.82,
South Carolina,SC,45,1979,10.22,133.93,61.25,43.89,
South Carolina,SC,45,1980,10.10,147.46,67.43,48.33,
South Carolina,SC,45,1981,9.00,160.74,73.51,52.68,
South Carolina,SC,45,1982,4.50,167.98,76.82,55.05,
South Carolina,SC,45,1983,2.04,171.41,78.39,56.18,
South Carolina,SC,45,1984,3.18,176.86,80.88,57.96,
South Carolina,SC,45,1985,3.75,183.50,83.92,60.14,
South Carolina,SC,45,1986,3.08,189.15,86.50,61.99,
South Carolina,SC,45,1987,3.77,196.28,89.76,64.33,
South Carolina,SC,45,1988,4.36,204.85,93.68,67.13,
South Carolina,SC,45,1989,3.76,212.55,97.20,69.66,
South Carolina,SC,45,1990,2.88,218.67,100.00,71.67,
South Carolina,SC,45,1991,2.24,223.57,102.24,73.27,
South Carolina,SC,45,1992,1.90,227.82,104.18,74.67,
South Carolina,SC,45,1993,1.47,231.18,105.72,75.76,
South Carolina,SC,45,1994,2.27,236.43,108.12,77.49,
South Carolina,SC,45,1995,3.70,245.18,112.12,80.35,
South Carolina,SC,45,1996,3.89,254.72,116.49,83.48,
South Carolina,SC,45,1997,4.31,265.70,121.50,87.08,
South Carolina,SC,45,1998,4.23,276.95,126.65,90.77,
South Carolina,SC,45,1999,4.59,289.66,132.47,94.93,
South Carolina,SC,45,2000,5.34,305.13,139.54,100.00,
South Carolina,SC,45,2001,4.83,319.86,146.28,104.83,
South Carolina,SC,45,2002,2.59,328.16,150.07,107.55,
South Carolina,SC,45,2003,1.78,333.98,152.73,109.46,
South Carolina,SC,45,2004,3.93,347.11,158.74,113.76,
South Carolina,SC,45,2005,7.12,371.82,170.04,121.86,
South Carolina,SC,45,2006,7.27,398.84,182.39,130.71,
South Carolina,SC,45,2007,3.99,414.75,189.67,135.93,
South Carolina,SC,45,2008,0.46,416.65,190.54,136.55,
South Carolina,SC,45,2009,-3.12,403.64,184.59,132.29,
South Carolina,SC,45,2010,-5.55,381.22,174.33,124.94,
South Carolina,SC,45,2011,-4.03,365.86,167.31,119.90,
South Carolina,SC,45,2012,-2.14,358.04,163.73,117.34,
South Carolina,SC,45,2013,0.63,360.31,164.77,118.08,
South Carolina,SC,45,2014,2.75,370.23,169.31,121.34,
South Carolina,SC,45,2015,4.41,386.57,176.78,126.69,
South Carolina,SC,45,2016,4.73,404.87,185.15,132.69,
South Carolina,SC,45,2017,5.18,425.83,194.73,139.56,
South Carolina,SC,45,2018,5.87,450.81,206.16,147.74,
South Dakota,SD,46,1975,.,100.00,51.70,33.26,
South Dakota,SD,46,1976,4.31,104.31,53.92,34.69,
South Dakota,SD,46,1977,10.14,114.88,59.39,38.20,
South Dakota,SD,46,1978,13.07,129.89,67.15,43.20,
South Dakota,SD,46,1979,11.95,145.41,75.17,48.36,
South Dakota,SD,46,1980,5.37,153.22,79.21,50.95,
South Dakota,SD,46,1981,-3.30,148.16,76.60,49.27,
South Dakota,SD,46,1982,12.83,167.18,86.43,55.60,
South Dakota,SD,46,1983,-6.93,155.60,80.44,51.74,
South Dakota,SD,46,1984,13.16,176.07,91.02,58.55,
South Dakota,SD,46,1985,-0.90,174.49,90.21,58.03,
South Dakota,SD,46,1986,2.88,179.52,92.80,59.70,
South Dakota,SD,46,1987,1.87,182.87,94.54,60.81,
South Dakota,SD,46,1988,-1.59,179.96,93.03,59.85,
South Dakota,SD,46,1989,2.96,185.28,95.78,61.62,
South Dakota,SD,46,1990,4.40,193.44,100.00,64.33,
South Dakota,SD,46,1991,4.23,201.63,104.23,67.05,
South Dakota,SD,46,1992,4.66,211.03,109.10,70.18,
South Dakota,SD,46,1993,6.45,224.65,116.13,74.71,
South Dakota,SD,46,1994,6.10,238.35,123.22,79.26,
South Dakota,SD,46,1995,5.10,250.50,129.50,83.30,
South Dakota,SD,46,1996,3.39,258.98,133.88,86.12,
South Dakota,SD,46,1997,4.20,269.86,139.51,89.74,
South Dakota,SD,46,1998,2.99,277.92,143.67,92.42,
South Dakota,SD,46,1999,3.20,286.83,148.28,95.38,
South Dakota,SD,46,2000,4.84,300.71,155.45,100.00,
South Dakota,SD,46,2001,4.09,313.00,161.81,104.09,
South Dakota,SD,46,2002,3.31,323.37,167.17,107.54,
South Dakota,SD,46,2003,2.35,330.97,171.10,110.07,
South Dakota,SD,46,2004,5.15,348.02,179.92,115.74,
South Dakota,SD,46,2005,6.75,371.51,192.06,123.54,
South Dakota,SD,46,2006,4.80,389.32,201.26,129.47,
South Dakota,SD,46,2007,3.37,402.44,208.05,133.83,
South Dakota,SD,46,2008,2.10,410.91,212.42,136.65,
South Dakota,SD,46,2009,-0.21,410.02,211.97,136.35,
South Dakota,SD,46,2010,-1.36,404.45,209.09,134.50,
South Dakota,SD,46,2011,-0.27,403.37,208.53,134.14,
South Dakota,SD,46,2012,0.92,407.10,210.46,135.38,
South Dakota,SD,46,2013,3.06,419.57,216.90,139.53,
South Dakota,SD,46,2014,3.22,433.06,223.88,144.02,
South Dakota,SD,46,2015,3.30,447.34,231.26,148.76,
South Dakota,SD,46,2016,4.64,468.11,242.00,155.67,
South Dakota,SD,46,2017,5.16,492.27,254.49,163.71,
South Dakota,SD,46,2018,4.33,513.57,265.50,170.79,
Tennessee,TN,47,1975,.,100.00,46.94,33.17,
Tennessee,TN,47,1976,2.80,102.80,48.26,34.10,
Tennessee,TN,47,1977,9.48,112.55,52.84,37.33,
Tennessee,TN,47,1978,11.82,125.85,59.08,41.74,
Tennessee,TN,47,1979,9.08,137.27,64.44,45.53,
Tennessee,TN,47,1980,7.56,147.65,69.31,48.98,
Tennessee,TN,47,1981,6.73,157.59,73.98,52.28,
Tennessee,TN,47,1982,0.63,158.59,74.45,52.61,
Tennessee,TN,47,1983,4.96,166.46,78.15,55.22,
Tennessee,TN,47,1984,2.70,170.95,80.25,56.71,
Tennessee,TN,47,1985,6.79,182.57,85.71,60.56,
Tennessee,TN,47,1986,5.23,192.11,90.19,63.73,
Tennessee,TN,47,1987,5.55,202.77,95.19,67.26,
Tennessee,TN,47,1988,3.17,209.19,98.20,69.39,
Tennessee,TN,47,1989,1.39,212.10,99.57,70.35,
Tennessee,TN,47,1990,0.43,213.02,100.00,70.66,
Tennessee,TN,47,1991,0.83,214.79,100.83,71.25,
Tennessee,TN,47,1992,2.06,219.21,102.91,72.71,
Tennessee,TN,47,1993,2.45,224.59,105.43,74.50,
Tennessee,TN,47,1994,4.46,234.61,110.14,77.82,
Tennessee,TN,47,1995,6.09,248.89,116.84,82.56,
Tennessee,TN,47,1996,4.59,260.31,122.20,86.35,
Tennessee,TN,47,1997,4.57,272.20,127.78,90.29,
Tennessee,TN,47,1998,3.83,282.64,132.68,93.75,
Tennessee,TN,47,1999,3.13,291.49,136.84,96.69,
Tennessee,TN,47,2000,3.42,301.47,141.53,100.00,
Tennessee,TN,47,2001,3.54,312.16,146.54,103.54,
Tennessee,TN,47,2002,2.11,318.75,149.63,105.73,
Tennessee,TN,47,2003,1.57,323.74,151.98,107.39,
Tennessee,TN,47,2004,3.52,335.13,157.33,111.16,
Tennessee,TN,47,2005,6.26,356.10,167.17,118.12,
Tennessee,TN,47,2006,7.06,381.26,178.98,126.47,
Tennessee,TN,47,2007,3.93,396.25,186.02,131.44,
Tennessee,TN,47,2008,0.03,396.38,186.08,131.48,
Tennessee,TN,47,2009,-2.67,385.78,181.10,127.97,
Tennessee,TN,47,2010,-3.66,371.64,174.47,123.28,
Tennessee,TN,47,2011,-2.70,361.62,169.76,119.95,
Tennessee,TN,47,2012,-1.26,357.07,167.63,118.44,
Tennessee,TN,47,2013,1.52,362.49,170.17,120.24,
Tennessee,TN,47,2014,4.02,377.08,177.02,125.08,
Tennessee,TN,47,2015,4.00,392.16,184.10,130.08,
Tennessee,TN,47,2016,5.60,414.13,194.41,137.37,
Tennessee,TN,47,2017,6.61,441.52,207.27,146.46,
Tennessee,TN,47,2018,6.56,470.50,220.88,156.07,
Texas,TX,48,1975,.,100.00,50.11,37.02,
Texas,TX,48,1976,8.01,108.01,54.12,39.99,
Texas,TX,48,1977,12.35,121.35,60.80,44.93,
Texas,TX,48,1978,13.95,138.28,69.29,51.20,
Texas,TX,48,1979,15.45,159.64,79.99,59.11,
Texas,TX,48,1980,12.03,178.85,89.61,66.22,
Texas,TX,48,1981,10.77,198.11,99.26,73.35,
Texas,TX,48,1982,10.11,218.15,109.30,80.77,
Texas,TX,48,1983,0.24,218.66,109.56,80.96,
Texas,TX,48,1984,1.49,221.91,111.19,82.16,
Texas,TX,48,1985,-0.48,220.84,110.65,81.76,
Texas,TX,48,1986,0.63,222.23,111.35,82.28,
Texas,TX,48,1987,-5.88,209.16,104.80,77.44,
Texas,TX,48,1988,-6.34,195.89,98.15,72.53,
Texas,TX,48,1989,0.75,197.37,98.89,73.07,
Texas,TX,48,1990,1.12,199.58,100.00,73.89,
Texas,TX,48,1991,1.95,203.46,101.95,75.33,
Texas,TX,48,1992,2.77,209.10,104.77,77.42,
Texas,TX,48,1993,2.15,213.61,107.03,79.09,
Texas,TX,48,1994,2.12,218.14,109.30,80.76,
Texas,TX,48,1995,1.68,221.80,111.14,82.12,
Texas,TX,48,1996,2.32,226.95,113.72,84.03,
Texas,TX,48,1997,2.21,231.97,116.23,85.89,
Texas,TX,48,1998,4.02,241.30,120.91,89.34,
Texas,TX,48,1999,4.78,252.84,126.69,93.61,
Texas,TX,48,2000,6.82,270.10,135.33,100.00,
Texas,TX,48,2001,5.66,285.38,142.99,105.66,
Texas,TX,48,2002,2.98,293.90,147.26,108.81,
Texas,TX,48,2003,1.89,299.47,150.05,110.87,
Texas,TX,48,2004,2.07,305.66,153.16,113.17,
Texas,TX,48,2005,4.30,318.82,159.75,118.04,
Texas,TX,48,2006,5.68,336.91,168.81,124.74,
Texas,TX,48,2007,4.61,352.46,176.60,130.49,
Texas,TX,48,2008,1.34,357.19,178.98,132.25,
Texas,TX,48,2009,-0.55,355.23,177.99,131.52,
Texas,TX,48,2010,-1.52,349.83,175.29,129.52,
Texas,TX,48,2011,-1.42,344.87,172.80,127.68,
Texas,TX,48,2012,0.78,347.55,174.15,128.68,
Texas,TX,48,2013,3.99,361.43,181.10,133.82,
Texas,TX,48,2014,7.42,388.24,194.53,143.74,
Texas,TX,48,2015,6.56,413.72,207.30,153.18,
Texas,TX,48,2016,7.06,442.94,221.94,163.99,
Texas,TX,48,2017,7.20,474.84,237.93,175.81,
Texas,TX,48,2018,6.08,503.74,252.40,186.50,
Utah,UT,49,1975,.,100.00,47.39,24.92,
Utah,UT,49,1976,11.50,111.50,52.84,27.79,
Utah,UT,49,1977,13.87,126.96,60.17,31.64,
Utah,UT,49,1978,17.48,149.15,70.68,37.17,
Utah,UT,49,1979,15.22,171.85,81.44,42.83,
Utah,UT,49,1980,4.75,180.01,85.31,44.86,
Utah,UT,49,1981,8.87,195.97,92.87,48.84,
Utah,UT,49,1982,3.38,202.59,96.01,50.49,
Utah,UT,49,1983,0.40,203.41,96.40,50.69,
Utah,UT,49,1984,-0.07,203.26,96.33,50.65,
Utah,UT,49,1985,2.33,208.00,98.57,51.84,
Utah,UT,49,1986,0.80,209.66,99.36,52.25,
Utah,UT,49,1987,-1.72,206.06,97.65,51.35,
Utah,UT,49,1988,-3.07,199.72,94.65,49.77,
Utah,UT,49,1989,2.23,204.17,96.76,50.88,
Utah,UT,49,1990,3.35,211.01,100.00,52.59,
Utah,UT,49,1991,5.24,222.06,105.24,55.34,
Utah,UT,49,1992,4.88,232.90,110.37,58.04,
Utah,UT,49,1993,10.48,257.32,121.94,64.13,
Utah,UT,49,1994,13.27,291.47,138.13,72.64,
Utah,UT,49,1995,13.74,331.52,157.11,82.62,
Utah,UT,49,1996,6.79,354.03,167.78,88.23,
Utah,UT,49,1997,6.39,376.66,178.50,93.86,
Utah,UT,49,1998,3.45,389.66,184.66,97.10,
Utah,UT,49,1999,1.39,395.07,187.23,98.45,
Utah,UT,49,2000,1.57,401.28,190.17,100.00,
Utah,UT,49,2001,3.13,413.85,196.13,103.13,
Utah,UT,49,2002,0.62,416.41,197.34,103.77,
Utah,UT,49,2003,0.20,417.24,197.73,103.98,
Utah,UT,49,2004,2.60,428.09,202.87,106.68,
Utah,UT,49,2005,9.65,469.41,222.45,116.98,
Utah,UT,49,2006,15.64,542.82,257.24,135.27,
Utah,UT,49,2007,11.43,604.86,286.65,150.73,
Utah,UT,49,2008,-0.80,600.02,284.35,149.53,
Utah,UT,49,2009,-8.80,547.24,259.34,136.37,
Utah,UT,49,2010,-7.66,505.32,239.47,125.93,
Utah,UT,49,2011,-5.54,477.33,226.21,118.95,
Utah,UT,49,2012,0.45,479.48,227.23,119.49,
Utah,UT,49,2013,6.60,511.10,242.21,127.37,
Utah,UT,49,2014,6.72,545.45,258.49,135.93,
Utah,UT,49,2015,4.25,568.62,269.47,141.70,
Utah,UT,49,2016,7.25,609.84,289.01,151.97,
Utah,UT,49,2017,9.16,665.73,315.49,165.90,
Utah,UT,49,2018,9.35,728.00,345.00,181.42,
Vermont,VT,50,1975,.,100.00,34.01,29.35,
Vermont,VT,50,1976,-0.09,99.91,33.98,29.32,
Vermont,VT,50,1977,11.50,111.40,37.89,32.70,
Vermont,VT,50,1978,15.73,128.93,43.85,37.84,
Vermont,VT,50,1979,3.33,133.22,45.31,39.10,
Vermont,VT,50,1980,13.11,150.69,51.25,44.23,
Vermont,VT,50,1981,3.06,155.30,52.81,45.58,
Vermont,VT,50,1982,1.21,157.18,53.46,46.13,
Vermont,VT,50,1983,3.81,163.17,55.49,47.89,
Vermont,VT,50,1984,9.24,178.24,60.62,52.32,
Vermont,VT,50,1985,7.45,191.52,65.14,56.21,
Vermont,VT,50,1986,8.41,207.63,70.61,60.94,
Vermont,VT,50,1987,12.21,232.97,79.23,68.38,
Vermont,VT,50,1988,15.54,269.18,91.54,79.01,
Vermont,VT,50,1989,8.34,291.62,99.18,85.59,
Vermont,VT,50,1990,0.83,294.04,100.00,86.30,
Vermont,VT,50,1991,-1.92,288.40,98.08,84.65,
Vermont,VT,50,1992,-0.08,288.18,98.01,84.58,
Vermont,VT,50,1993,0.07,288.38,98.07,84.64,
Vermont,VT,50,1994,0.28,289.18,98.35,84.88,
Vermont,VT,50,1995,0.69,291.18,99.03,85.46,
Vermont,VT,50,1996,1.02,294.15,100.04,86.34,
Vermont,VT,50,1997,0.71,296.23,100.74,86.95,
Vermont,VT,50,1998,1.86,301.73,102.61,88.56,
Vermont,VT,50,1999,3.98,313.74,106.70,92.09,
Vermont,VT,50,2000,8.59,340.71,115.87,100.00,
Vermont,VT,50,2001,6.35,362.34,123.23,106.35,
Vermont,VT,50,2002,5.82,383.44,130.40,112.54,
Vermont,VT,50,2003,5.17,403.27,137.15,118.36,
Vermont,VT,50,2004,12.39,453.24,154.14,133.03,
Vermont,VT,50,2005,13.84,515.97,175.48,151.44,
Vermont,VT,50,2006,7.90,556.75,189.34,163.41,
Vermont,VT,50,2007,2.02,567.99,193.17,166.71,
Vermont,VT,50,2008,-0.21,566.80,192.76,166.36,
Vermont,VT,50,2009,-3.12,549.13,186.75,161.17,
Vermont,VT,50,2010,-1.82,539.11,183.34,158.23,
Vermont,VT,50,2011,-1.09,533.24,181.35,156.51,
Vermont,VT,50,2012,-0.73,529.37,180.03,155.37,
Vermont,VT,50,2013,-0.30,527.79,179.50,154.91,
Vermont,VT,50,2014,0.33,529.51,180.08,155.42,
Vermont,VT,50,2015,1.38,536.84,182.57,157.57,
Vermont,VT,50,2016,0.98,542.12,184.37,159.12,
Vermont,VT,50,2017,2.51,555.73,189.00,163.11,
Vermont,VT,50,2018,2.82,571.43,194.34,167.72,
Virginia,VA,51,1975,.,100.00,36.67,29.71,
Virginia,VA,51,1976,3.36,103.36,37.91,30.71,
Virginia,VA,51,1977,8.56,112.21,41.15,33.33,
Virginia,VA,51,1978,11.51,125.12,45.89,37.17,
Virginia,VA,51,1979,9.51,137.02,50.25,40.70,
Virginia,VA,51,1980,11.01,152.11,55.78,45.19,
Virginia,VA,51,1981,4.63,159.16,58.37,47.28,
Virginia,VA,51,1982,3.22,164.29,60.25,48.81,
Virginia,VA,51,1983,7.26,176.22,64.63,52.35,
Virginia,VA,51,1984,4.76,184.62,67.70,54.84,
Virginia,VA,51,1985,5.16,194.15,71.20,57.67,
Virginia,VA,51,1986,4.57,203.02,74.46,60.31,
Virginia,VA,51,1987,8.09,219.45,80.48,65.19,
Virginia,VA,51,1988,13.83,249.81,91.61,74.21,
Virginia,VA,51,1989,8.05,269.92,98.99,80.18,
Virginia,VA,51,1990,1.02,272.68,100.00,81.00,
Virginia,VA,51,1991,-0.48,271.37,99.52,80.61,
Virginia,VA,51,1992,0.95,273.94,100.46,81.38,
Virginia,VA,51,1993,0.15,274.35,100.61,81.50,
Virginia,VA,51,1994,0.90,276.83,101.52,82.23,
Virginia,VA,51,1995,1.60,281.27,103.15,83.55,
Virginia,VA,51,1996,1.88,286.56,105.09,85.13,
Virginia,VA,51,1997,2.17,292.77,107.37,86.97,
Virginia,VA,51,1998,2.04,298.73,109.55,88.74,
Virginia,VA,51,1999,4.13,311.05,114.07,92.40,
Virginia,VA,51,2000,8.22,336.63,123.45,100.00,
Virginia,VA,51,2001,7.82,362.96,133.11,107.82,
Virginia,VA,51,2002,7.58,390.49,143.21,116.00,
Virginia,VA,51,2003,5.50,411.98,151.09,122.38,
Virginia,VA,51,2004,13.46,467.43,171.42,138.86,
Virginia,VA,51,2005,18.78,555.23,203.62,164.94,
Virginia,VA,51,2006,10.38,612.87,224.76,182.06,
Virginia,VA,51,2007,1.83,624.10,228.88,185.40,
Virginia,VA,51,2008,-4.58,595.50,218.39,176.90,
Virginia,VA,51,2009,-6.73,555.45,203.70,165.00,
Virginia,VA,51,2010,-4.38,531.15,194.79,157.78,
Virginia,VA,51,2011,-2.91,515.70,189.13,153.20,
Virginia,VA,51,2012,-1.34,508.79,186.59,151.14,
Virginia,VA,51,2013,1.29,515.33,188.99,153.09,
Virginia,VA,51,2014,3.08,531.22,194.82,157.80,
Virginia,VA,51,2015,2.19,542.85,199.08,161.26,
Virginia,VA,51,2016,2.40,555.89,203.87,165.13,
Virginia,VA,51,2017,3.34,574.45,210.67,170.65,
Virginia,VA,51,2018,3.65,595.44,218.37,176.88,
Washington,WA,53,1975,.,100.00,30.30,19.78,
Washington,WA,53,1976,11.96,111.96,33.92,22.14,
Washington,WA,53,1977,16.17,130.07,39.40,25.72,
Washington,WA,53,1978,21.03,157.42,47.69,31.13,
Washington,WA,53,1979,15.17,181.30,54.93,35.86,
Washington,WA,53,1980,9.76,199.00,60.29,39.36,
Washington,WA,53,1981,3.93,206.82,62.66,40.90,
Washington,WA,53,1982,0.35,207.55,62.88,41.05,
Washington,WA,53,1983,0.29,208.15,63.06,41.17,
Washington,WA,53,1984,2.84,214.07,64.85,42.34,
Washington,WA,53,1985,1.94,218.23,66.12,43.16,
Washington,WA,53,1986,1.98,222.54,67.42,44.01,
Washington,WA,53,1987,2.63,228.40,69.20,45.17,
Washington,WA,53,1988,5.86,241.79,73.25,47.82,
Washington,WA,53,1989,15.11,278.32,84.32,55.04,
Washington,WA,53,1990,18.60,330.07,100.00,65.28,
Washington,WA,53,1991,6.34,350.99,106.34,69.41,
