,,,,,,,,Federal Housing Finance Agency,,,,,,,,,,,,,,,,,,,,
,,,,,,,,www.fhfa.gov,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TABLE 12: TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, ANNUAL NATIONAL AVERAGES, FIXED-RATE MORTGAGES",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Type,Year,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,,,,,,,,,,,,,,,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,,,,,,,,,,,,,,,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,,,,,,,,,,,,,,,,,,
,,(%),Charges,(%),,($000),,(%),,,,,,,,,,,,,,,,,,,,
,,,(%),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Homes,1999,7.29,0.87,7.42,28.2,144.5,189.2,78.8,,,,,,,,,,,,,,,,,,,,
New Homes,2000,8.04,0.85,8.17,28.6,152.3,204.6,76.9,,,,,,,,,,,,,,,,,,,,
New Homes,2001,7.02,0.73,7.14,28.6,171.7,229.0,77.4,,,,,,,,,,,,,,,,,,,,
New Homes,2002,6.63,0.70,6.73,28.6,183.0,243.8,77.6,,,,,,,,,,,,,,,,,,,,
New Homes,2003,5.87,0.68,5.97,28.4,200.4,267.2,77.6,,,,,,,,,,,,,,,,,,,,
New Homes,2004,5.95,0.60,6.04,28.0,199.1,279.6,73.9,,,,,,,,,,,,,,,,,,,,
New Homes,2005,6.10,0.61,6.19,28.8,222.6,310.7,74.3,,,,,,,,,,,,,,,,,,,,
New Homes,2006,6.63,0.74,6.74,29.3,240.0,329.6,75.2,,,,,,,,,,,,,,,,,,,,
New Homes,2007,6.30,0.83,6.42,29.4,258.6,346.6,77.1,,,,,,,,,,,,,,,,,,,,
New Homes,2008,5.94,0.85,6.07,29.0,253.3,344.6,76.2,,,,,,,,,,,,,,,,,,,,
New Homes,2009,5.01,1.00,5.15,28.7,239.2,331.5,73.8,,,,,,,,,,,,,,,,,,,,
New Homes,2010,4.70,0.82,4.82,28.4,240.7,333.9,73.3,,,,,,,,,,,,,,,,,,,,
New Homes,2011,4.52,0.72,4.62,28.4,252.2,318.6,77.5,,,,,,,,,,,,,,,,,,,,
New Homes,2012,3.66,1.16,3.76,28.4,237.1,360.3,77.3,,,,,,,,,,,,,,,,,,,,
New Homes,2013,3.95,1.21,4.09,28.3,291.1,380.6,78.1,,,,,,,,,,,,,,,,,,,,
New Homes,2014,4.19,1.25,4.32,28.5,304.2,397.5,78.2,,,,,,,,,,,,,,,,,,,,
New Homes,2015,3.91,1.17,4.03,28.8,342.1,450.7,78.1,,,,,,,,,,,,,,,,,,,,
New Homes,2016,3.70,1.11,3.77,29.0,354.0,463.0,78.6,,,,,,,,,,,,,,,,,,,,
New Homes,2017,4.03,1.05,3.98,28.8,351.0,461.6,78.3,,,,,,,,,,,,,,,,,,,,
